case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,PV_surplus_kWh,Surplus_captured_frac,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,PV_surplus_kWh_COMM,Surplus_captured_frac_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house,pwl_degradation_cost_EUR,battery_throughput_kWh,bin_hours_0,bin_hours_1,bin_hours_2
b8_pv01_equal_export__1month,Apt1,256.22147327771233,53.693229831042984,203.91384635035502,0.0,14.21131183267359,12.825708928987918,0.0,0.0,1.0,14.21131183267359,1.0,0.20415005135288694,1.78,0.18,1.78,41.37671429327344,0.0,0.10478780264241269,1.746463377373545,0.0,1.746463377373545,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt2,126.44376928830724,53.693229831042984,74.78390908634574,0.45901514692541007,16.147225458011246,14.572870975855148,0.0,0.0,0.9914511541144052,16.606240604936655,0.9723588765304921,0.408559951136625,1.78,0.18,3.55,15.174626050259654,-0.006402240221606706,0.07222223141283395,1.2037038568805658,-0.4268160147737804,1.2037038568805658,0.4268160147737804,-1.0408340855860844e-17,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt3,63.713560131774756,53.693229831042984,19.79297898414523,8.032940237685951,17.843163545923108,16.1034551001956,0.0,0.0,0.8503919346449583,25.87610378360906,0.6895614461565759,0.6893443257101212,1.2,0.12,2.4,2.8848420170899556,-0.008221275997514921,0.03125263062650329,0.5208771771083882,-0.5480850665009948,0.5208771771083882,0.5480850665009948,0.0,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt4,160.61308241416606,53.693229831042984,108.2938117206213,0.0,14.091888589725524,12.717929452227285,0.0,0.0,1.0,14.091888589725524,1.0,0.3257472548757348,1.78,0.1799999999999999,2.8768374914099155,22.502399970753387,0.0,0.09863631588882965,1.6439385981471608,0.0,1.6439385981471608,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt5,295.3211835955126,53.693229831042984,242.8363050915726,0.0,12.393346944646197,11.184995617543194,0.0,0.0,1.0,12.393346944646197,1.0,0.17772134685680402,2.4,0.2399999999999999,2.4,49.56398973262109,0.0,0.12077854953705855,2.0129758256176427,0.0,2.0129758256176427,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt6,96.88521535118599,53.693229831042984,46.82692316869711,0.8902045538720399,28.151108663405694,25.40637556872364,0.0,0.0,0.9834205437692377,29.041313217277732,0.9693469593743294,0.5166762751265961,1.2,0.12,2.4,8.583403825162783,-0.005633821028922484,0.036015780675282,0.6002630112547,-0.3755880685948323,0.6002630112547,0.3755880685948323,-3.122502256758253e-17,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt7,280.7021165424741,53.693229831042984,228.2142691348236,0.0,12.362896650179714,11.157514226787193,0.0,0.0,1.0,12.362896650179714,1.0,0.18698771514146503,2.4,0.24,2.845414666151387,47.23313119789276,-6.6613381477509375e-18,0.1043472507940032,1.73912084656672,-1.1102230246251563e-16,1.73912084656672,0.0,-2.7755575615628907e-17,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt8,45.473381948372435,53.693229831042984,22.374104212656924,29.29565066414614,13.315912114680245,12.017610683498921,0.0,0.0,0.4543883697007788,42.61156277882638,0.31249527701661534,0.5079736044691145,1.2,0.12,1.4521685368609645,1.3746355499232017,-0.010327233481705509,0.024900678511494717,0.7114479574712775,-0.6884822321137006,0.7114479574712775,0.6884822321137006,-1.214306433183765e-17,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,_COMMUNITY,1325.3737825495054,429.5458386483439,947.0361477492175,38.67781060262954,128.51685379924533,115.98646055381889,0.0,0.0,0.9099565002786725,167.19466440187486,0.7686659993547269,0.28545731006728753,13.739999999999998,1.3838285868356675,14.149697388888255,188.69374263697625,-0.018385533018108517,0.2897646158170714,5.717200101918731,-1.2257022012072345,5.717200101918731,1.302569518003235,21.1918385116243,947.0361477492175,38.67781060262954,0.0,0.0,0.9099565002786725,167.19466440187486,0.7686659993547269,0.28545731006728753,0.022377011228124803,23.58671782962203,18.605907061601762,1.3746355499232017,49.56398973262109,48.18935418269788,0.7888298489005969,0.44037935573377107,,,,,
b8_pv01_equal_export__1year,Apt1,2267.7957475663648,1571.6208418132471,1405.5398795066826,673.5939227768554,366.8825741201009,331.111523143391,0.0,0.0,0.5714017625270859,1040.4764968969562,0.3526101504592037,0.3802176051282366,1.78,0.1799999999999995,3.55,201.79640270028312,-0.02259766310285715,0.10478780264241269,1.889164877206485,-1.50651087352381,1.889164877206485,1.50651087352381,-6.93889390390723e-18,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1year,Apt2,1518.5875445649422,1571.6208418132471,839.903700146009,865.8278208221709,278.04283663736476,250.93366006522172,0.0,0.0,0.4490860659348168,1143.8706574595358,0.24307191973512135,0.4469178262708379,1.78,0.1799999999999997,3.55,116.90690384642443,-0.022575352032079724,0.09001770138846585,1.5002950231410974,-1.505023468805315,1.5002950231410974,1.505023468805315,0.0,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1year,Apt3,765.198786627361,1571.6208418132471,329.68936406811935,1116.8880497271105,197.16276437841015,177.93939485151515,0.0,0.0,0.2893400112723701,1314.0508141055207,0.15004196356943744,0.5691454693475977,1.2,0.1199999999999997,2.4,-3.77552789060805,-0.017249999999999998,0.045358883736381445,0.7559813956063575,-1.15,0.7559813956063575,1.15,0.0,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1year,Apt4,1928.9604210722466,1571.6208418132471,1139.2716415186226,751.2377447564247,314.8135128533149,284.1191953501167,0.0,0.0,0.521998102360561,1066.0512576097397,0.2953080450926703,0.40938568304820977,1.78,0.1799999999999992,3.5500000000000003,186.4309390958308,-0.022355637405262356,0.11434347910709143,1.9057246517848572,-1.4903758270174905,1.9057246517848572,1.4903758270174905,0.0,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1year,Apt5,2613.864153369639,1571.6208418132471,1670.2298563275076,588.3008595588075,407.03266884418593,367.3469836318778,0.0,0.0,0.6256725261545532,995.3335284029934,0.40894098031367176,0.3610112238716209,2.4,0.2399999999999996,4.8,255.52319600470065,-0.022467145357850927,0.12077854953705855,2.1774537489251924,-1.497809690523395,2.1774537489251924,1.497809690523395,-1.734723475976807e-18,,,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1year,Apt6,961.9626116696597,1571.6208418132471,367.1422274160581,953.0363079954165,243.734867325427,219.9707177611979,0.0,0.0,0.3935965452736952,1196.7711753208434,0.2036603758108428,0.6183404396779865,1.2,0.1199999999999997,2.4,4.170071146208153,-0.017249999999999998,0.03528963256191195,0.614742936951715,-1.15,0.614742936951715,1.15,-6.93889390390723e-18,,,,,,,,,,,,,,,,,,,,,
